ma_khach_hang,ma_san_pham,ten_san_pham,diem_trung_binh,Rating
33,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.08388090133667
33,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
33,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.03528356552124
33,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
34,204900080,[Mini] Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 3ml,5.0,6.051844596862793
34,422206798,"Combo 3 Mặt Nạ Caryophy Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",5.0,5.929606437683105
34,100150066,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 150ml",5.0,5.841921806335449
34,422206541,Sữa Rửa Mặt Eucerin Tạo Bọt Làm Sáng Da 50g,4.8,5.940620899200439
34,422208238,Tinh Chất B.O.M Vàng 24K Làm Sáng Và Săn Chắc Da 30ml,5.0,6.039426326751709
35,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.561546325683594
35,422210954,Dầu Tẩy Trang Kosé Softymo Làm Sạch Nhanh 230ml,5.0,5.551209926605225
35,422210957,Dầu Tẩy Trang Kosé Softymo Dưỡng Sáng Da 230ml,5.0,5.546581268310547
35,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,5.533927440643311
35,422210956,Dầu Tẩy Trang Kosé Softymo Làm Sạch Sâu Lỗ Chân Lông 230ml,5.0,5.548307418823242
36,422210957,Dầu Tẩy Trang Kosé Softymo Dưỡng Sáng Da 230ml,5.0,5.530118465423584
36,422210956,Dầu Tẩy Trang Kosé Softymo Làm Sạch Sâu Lỗ Chân Lông 230ml,5.0,5.53176736831665
36,422210954,Dầu Tẩy Trang Kosé Softymo Làm Sạch Nhanh 230ml,5.0,5.533862113952637
36,422203645,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,4.9,5.518931865692139
36,248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,5.542572975158691
37,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.046836376190186
37,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.149338722229004
37,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.119442939758301
37,418800002,Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 25ml,4.9,5.049080848693848
37,222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,5.089878559112549
38,422216596,Combo 2 Serum Vichy Giải Cứu Làn Da Tức Thì 10ml,5.0,5.140273094177246
38,418800004,"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",4.9,5.108542442321777
38,422209042,Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,5.036257266998291
